name,Calories (kcal)
Aam Ras (1 medium katori or 150 gms ),168
Adi Rasam(1), 194
Rice (1 cup),170
Phulka (1),80
paratha (1),150
Puri(1),100
Bread(2 slices), 170
Poha (1 cup),270
Upma (1 cup),270
Idli (2 Nos),150
Dosa (1 No),125
Kichadi(1 cup), 200
Wheat Porridge (1 cup), 220
Semolina Porridge(1 cup), 220
Cereal Flakes With Milk(1 cup),220
Akuri (1 big katori or 200 gms ), 324
Almond ICC (1 scoop),214
Almond Milkshake (1 big glass),291
Almond Milkshake w/icecream (1 big glass),432
Plain Dhal (1/2 cup), 100
Sambar (1cup),110
Boiled Egg(1),90
Omelette (1 No),160
Fried Egg(1 No),160
Almond nuts / Badam (1 small katori or 100 gms ),655
Aloo Chat (1 medium katori or 150 gms ),148
Aloo Gobi veg ( 1 medium katori or 150 gms ),247
Aloo Mutter (1 medium katori or 150 gms ), 217
Aloo Palak (1 medium katori or 150 gms ), 163
Aloo Paratha (1), 290
Aloo Pattice (1), 10.5
Mutton Curry(3/4),260
Chicken Curry(3/4),240
Aloo Tikki (1),97
American Chopsuey (1 bowl),373
Amla (1 small katori or 100 gms ),58
Amti (1 medium katori or 150 gms ),186
Anjir ICC (1 scoop),240
Anjir Milkshake (1 big glass),336
Anjir Milkshake w/icecream (1 big glass),492
Anjir nuts (1 small katori or 100 gms ),550
Appam (1 pcs),141.5
Bajra Khakra (1 Pc),5.4
Bajra Roti (1),108
Baked Beans on Toast (1 Slice),195
Baked Corn (1 medium katori or 150 gms ),119
Baked Mince (1 small katori or 100 gms ),107.5
Baked Potato (1),116.5
Baked sev (1 small katori or 100 gms ),452
Baked Soya Puri (1),64
Boiled Egg (1),85
Boiled Masoor (1 medium katori or 150 gms ),102
Boiled Moong Dal(1 medium katori or 150 gms ),104
Boiled Muth / Mothbeans (1 medium katori or 150 gms ),99
Boiled Noodles (1 bowl),145
Boiled Rajmah (1 medium katori or 150 gms ),103
Boiled Soya Bean (1 medium katori or 150 gms ),129
Boiled Tur Dal(1 medium katori or 150 gms ),100
Boiled Urad Dal (1 medium katori or 150 gms ),104
Boiled Val (1 medium katori or 150 gms ),104
Butter Chicken (1 big katori or 200 gms ),391
Butter Cookies (1),99.5
Butter Dosa Plain (1),145
Butter Idli (1),90
Cow's Milk (1 glass),134
Crab Curry (1 medium katori or 150 gms ),471
Crab Molee (1 medium katori or 150 gms ),464
Crab Stew (1 medium katori or 150 gms ),249
Crab Sukha (1 medium katori or 150 gms ),360
Cream Cracker (1),50
Cream of Palak Soup (1 bowl),115
Cream of Peas Soup (1 bowl),260
samosa (1), 200
Bajji (8 Nos),280
Chat(Dahi-pakori),220
Cheese BAlls(5 pic), 220
Vada (2 Nos), 180
Sandwich(2 Nos),200
Vegetable Puff(1 Nos), 170
Pizza(Cheese & Tomato)(1 slice),200


